,base_market,quote_market,hedge_ratio,half_life
0,SNX-USD,XTZ-USD,3.1720618279251203,1.0
1,SNX-USD,ICP-USD,0.6866477676821336,1.0
2,SNX-USD,ETC-USD,0.1394902459200873,1.0
3,SNX-USD,ZEC-USD,0.08564642074908153,1.0
4,SNX-USD,LINK-USD,0.345673439537787,1.0
5,SNX-USD,MKR-USD,0.0018319911907690753,1.0
6,SNX-USD,ATOM-USD,0.31288091894915526,1.0
7,SNX-USD,BCH-USD,0.010650954726783516,1.0
8,SNX-USD,CELO-USD,5.008567478401758,1.0
9,SNX-USD,ENJ-USD,9.007514192481336,1.0
10,SNX-USD,RUNE-USD,1.298237608734198,2.0
11,SNX-USD,FIL-USD,0.6606371963276942,1.0
12,SNX-USD,ZRX-USD,12.286492997801686,1.0
13,SNX-USD,TRX-USD,26.60961870135802,1.0
14,SNX-USD,YFI-USD,0.00039791984475161945,1.0
15,SNX-USD,COMP-USD,0.0544067342116473,1.0
16,SNX-USD,XLM-USD,17.413228627775503,1.0
17,SNX-USD,EOS-USD,3.7504030081611455,1.0
18,SNX-USD,NEAR-USD,1.9069755360549963,1.0
19,SNX-USD,ALGO-USD,22.788584082431207,1.0
20,SNX-USD,XMR-USD,0.014945885468035719,1.0
21,SNX-USD,SUSHI-USD,3.573302756703893,1.0
22,SNX-USD,ADA-USD,8.507359229956872,1.0
23,SNX-USD,UMA-USD,1.562878754543533,1.0
24,SNX-USD,BTC-USD,8.188855566638048e-05,1.0
25,SNX-USD,DOT-USD,0.5150526652383025,1.0
26,SNX-USD,CRV-USD,4.96442279854915,1.0
27,SNX-USD,SOL-USD,0.1119055238535174,1.0
28,SNX-USD,DOGE-USD,34.34264145401054,1.0
29,SNX-USD,LTC-USD,0.03388295631269243,1.0
30,SNX-USD,AAVE-USD,0.03806316913860027,1.0
31,SNX-USD,UNI-USD,0.49422892636852905,1.0
32,SNX-USD,MATIC-USD,4.019142064087702,1.0
33,SNX-USD,1INCH-USD,8.828912324916162,1.0
34,SNX-USD,AVAX-USD,0.22391385086472182,1.0
35,SNX-USD,ETH-USD,0.001317725796768661,1.0
36,XTZ-USD,EOS-USD,1.1821927094715472,4.0
37,XTZ-USD,DOT-USD,0.162355497280722,2.0
38,ETC-USD,LINK-USD,2.479041077493003,18.0
39,ETC-USD,CELO-USD,35.909979444885295,5.0
40,ETC-USD,FIL-USD,4.736383893191678,4.0
41,ETC-USD,ZRX-USD,88.1081255748552,9.0
42,ETC-USD,YFI-USD,0.0028525172607171503,2.0
43,ETC-USD,ALGO-USD,163.38417884371611,5.0
44,LINK-USD,1INCH-USD,25.521706247527575,6.0
45,MKR-USD,RUNE-USD,710.529024862492,19.0
46,CELO-USD,FIL-USD,0.13187502212093183,3.0
47,CELO-USD,LTC-USD,0.006764289234876825,3.0
48,CELO-USD,AAVE-USD,0.007604624709482944,12.0
49,FIL-USD,ALGO-USD,34.4904501299913,3.0
50,FIL-USD,1INCH-USD,13.362958071948265,2.0
51,ZRX-USD,SUSHI-USD,0.2907922164118873,3.0
52,YFI-USD,ALGO-USD,57274.98658524739,4.0
53,YFI-USD,1INCH-USD,22186.908281774893,6.0
54,COMP-USD,ETH-USD,0.02420172970542774,6.0
55,EOS-USD,ADA-USD,2.2680306751311234,2.0
56,EOS-USD,DOT-USD,0.13731648480315478,2.0
57,EOS-USD,CRV-USD,1.3235909731071478,3.0
58,EOS-USD,SOL-USD,0.029837964885996257,5.0
59,EOS-USD,MATIC-USD,1.0713227275685997,5.0
60,ALGO-USD,1INCH-USD,0.38738151034979246,4.0
61,XMR-USD,BTC-USD,0.005478374727389036,3.0
62,ADA-USD,CRV-USD,0.5835037287013948,4.0
63,ADA-USD,SOL-USD,0.013154068779305843,5.0
64,ADA-USD,DOGE-USD,4.036552394439147,2.0
65,ADA-USD,UNI-USD,0.05809703882270569,3.0
66,ADA-USD,MATIC-USD,0.47231509596964255,7.0
67,UMA-USD,BTC-USD,5.163373203924048e-05,1.0
68,UMA-USD,DOT-USD,0.32445588444385565,1.0
69,UMA-USD,CRV-USD,3.127301820991239,1.0
70,UMA-USD,SOL-USD,0.07049205641931623,1.0
71,UMA-USD,DOGE-USD,21.6331767987744,1.0
72,UMA-USD,LTC-USD,0.021360012263615297,1.0
73,UMA-USD,AAVE-USD,0.024007658962199044,1.0
74,UMA-USD,UNI-USD,0.3114492297394462,1.0
75,UMA-USD,MATIC-USD,2.5301813239850683,1.0
76,UMA-USD,1INCH-USD,5.565128533518756,1.0
77,UMA-USD,AVAX-USD,0.14098985461056296,1.0
78,UMA-USD,ETH-USD,0.0008304593620010123,1.0
79,SOL-USD,UNI-USD,4.4149313378638935,7.0
80,DOGE-USD,MATIC-USD,0.11700377655292656,8.0
